序號,重劃區名稱,行政區代碼,區,段,小段,地號,面積-平方公尺,得標單價-元/平方公尺,得標總價-元,標脫日期
1,北投區第六期市地重劃區,63000120,北投,桃源,一,694,306.03,89733,27461100,20040330
2,北投區第六期市地重劃區,63000120,北投,桃源,一,698,290.18,157500,45703352,20040330
3,北投區第六期市地重劃區,63000120,北投,桃源,一,703,204.5,83287,17032100,20040330
4,內湖區第四期市地重劃區,63000100,內湖,石潭,四,5,1003.97,261364,290253100,20061129
5,內湖區第四期市地重劃區,63000100,內湖,石潭,四,5-1,106.56,,,
6,內湖區第四期市地重劃區,63000100,內湖,石潭,四,65,2606.77,92076,240020000,20031007
7,內湖區第四期市地重劃區,63000100,內湖,石潭,四,102,4163.77,77065,320880000,20040330
8,內湖區第四期市地重劃區,63000100,內湖,石潭,四,112,12865.39,88361,1136800000,20040330
9,內湖區第四期市地重劃區,63000100,內湖,石潭,四,133,1177.01,86379,101668888,20040330
10,內湖區第四期市地重劃區,63000100,內湖,石潭,四,198,349.26,56285,19658000,20041207
11,內湖區第四期市地重劃區,63000100,內湖,石潭,四,200,2257.64,71088,160490000,20040330
12,內湖區第四期市地重劃區,63000100,內湖,石潭,四,301,1809.77,71169,128800000,20031007
13,內湖區第四期市地重劃區,63000100,內湖,石潭,四,308,413.1,379787,156890000,20070703
14,內湖區第四期市地重劃區,63000100,內湖,石潭,四,388,583.12,77137,44980000,20040330
15,內湖區第四期市地重劃區,63000100,內湖,石潭,四,393,531.3,80164,42591000,20040330
16,內湖區第四期市地重劃區,63000100,內湖,石潭,四,398,5483.1,95712,524800000,20040330
17,內湖區第四期市地重劃區,63000100,內湖,石潭,四,401,3255.63,85000,276728888,20040617
18,內湖區第四期市地重劃區,63000100,內湖,石潭,四,407,2857.95,85001,242928889,20040617
19,內湖區第五期市地重劃區,63000100,內湖,潭美,五,2,1831.09,133096,988680000,20070703
20,內湖區第五期市地重劃區,63000100,內湖,潭美,五,6,3402.21,,,
21,內湖區第五期市地重劃區,63000100,內湖,潭美,五,7,2195.02,,,
22,內湖區第五期市地重劃區,63000100,內湖,潭美,五,11,2107.39,248117,522880000,20070703
23,內湖區第五期市地重劃區,63000100,內湖,潭美,五,16,1575.62,217197,342220000,20070703
24,內湖區第五期市地重劃區,63000100,內湖,潭美,五,29,3028.6,187876,568999999,20070703
25,內湖區第五期市地重劃區,63000100,內湖,潭美,五,40,2777.08,115229,320000000,20070703
26,內湖區第五期市地重劃區,63000100,內湖,潭美,五,47,2278,294049,21000660000,20070703
27,內湖區第五期市地重劃區,63000100,內湖,潭美,五,48,2127.05,,,
28,內湖區第五期市地重劃區,63000100,內湖,潭美,五,49,2738.85,,,
29,內湖區第五期市地重劃區,63000100,內湖,潭美,五,62,1059.1,357927,379080000,20070703
30,內湖區第五期市地重劃區,63000100,內湖,潭美,五,68,389.46,311571,121344300,20070703
31,內湖區第五期市地重劃區,63000100,內湖,潭美,五,76,384.49,306068,117680000,20070703
32,內湖區第五期市地重劃區,63000100,內湖,潭美,五,93,489.62,311575,152553300,20070703
33,內湖區第五期市地重劃區,63000100,內湖,潭美,五,97,408.52,296632,121180000,20070703
34,內湖區第五期市地重劃區,63000100,內湖,潭美,五,128,345.09,311576,107521700,20070703
35,松山區第一期市地重劃區,63000010,松山,民生,,51-46,131,48288,6325728,20041207
36,松山區第二期市地重劃區,63000020,信義,信義,三,19,1839,302803,556853798,20040621
37,松山區第二期市地重劃區,63000020,信義,信義,三,19-1,728,284653,207227020,20040621
38,松山區第二期市地重劃區,63000020,信義,信義,三,43-9,1976,242247,478680000,20040614
39,松山區第二期市地重劃區,63000020,信義,信義,三,23,4382,424110,3676188888,20040720
40,松山區第二期市地重劃區,63000020,信義,信義,三,23-1,4286,,,
41,松山區第二期市地重劃區,63000020,信義,信義,五,34-1,615,244195,150180000,20040514
42,南港區第一期市地重劃區,63000090,南港,經貿,,29-4,526.27,80063,42135000,20040330
43,南港區第一期市地重劃區,63000090,南港,經貿,,32-3,534.45,84124,44959900,20040617
44,南港區第一期市地重劃區,63000090,南港,經貿,,62-2,2766.36,140578,388888888,20040617
45,南港區第二期市地重劃區,63000090,南港,中南,二,860,1086.1,308596,335166600,20071005
46,南港區第二期市地重劃區,63000090,南港,中南,二,865,2189.3,321016,702800000,20071005
47,南港區第三期市地重劃區,63000090,南港,玉成,二,728,2892.48,1551610,4488000000,20210923
48,木柵區第二期市地重劃區,63000081,文山,政大,一,102,1288.62,84700,109146000,20060822
49,文山區第一期市地重劃區,63000080,文山,政大,四,840,391.93,408368,160051689,20211117
